CITY ,TOWN,Population,CSI_Violent,%_CHNG_Violent,CSI_NoViolent,%_CHNG_NoViolent
Port McNeill,BC,"2,234",114.3,30.30%,53.7,-12.00%
Hanna,AB,"2,234",62,-13.60%,124.1,23.00%
Tofino,BC,"2,217",207,-49.00%,95.6,-26.30%
Esterhazy,SK,"2,191",38.4,11.20%,41.6,-15.50%
Springdale,NL,"2,182",53.3,-15.70%,39.7,-19.90%
Maple Creek,SK,"2,151",91.4,-21.40%,69.3,-18.80%
Lac La Biche,AB,"2,138",442.1,45.70%,233.7,-12.90%
Pelican Narrows,SK,"2,133","1,896.90",27.80%,567.7,8.10%
Burns Lake,BC,"2,117",176.3,-21.10%,113.8,4.30%
Outlook,SK,"2,112",36.4,-18.30%,49.9,-34.80%
Portneuf Region,QC,"2,107",54,54.20%,26.7,10.30%
Houston,BC,"2,085",226.6,-37.80%,163.5,8.10%
High Prairie,AB,"2,065",464.1,5.80%,217.7,-12.50%
Lewisporte,NL,"2,064",28.7,-27.50%,32.7,-25.60%
Biggar,SK,"2,045",69.7,42.60%,96.7,-8.30%
Sicamous,BC,"2,041",79.9,-24.30%,71.7,-19.10%
La Loche,SK,"2,009","1,315.40",7.60%,919.4,18.10%
Digby,NS,"2,001",103.5,-27.50%,116.9,1.70%
Grey Bruce (Wiarton),ON,"1,996",92.7,-73.10%,86.2,1.00%
North Bay (Mattawa),ON,"1,993",117.2,48.40%,71.4,45.70%
St. Anthony,NL,"1,986",59.7,52.40%,35,58.30%
Nanton,AB,"1,984",26,-43.50%,62,-30.30%
North Bay (Bonfield),ON,"1,975",48.4,161.00%,37.2,-22.80%
Vanderhoof,BC,"1,967",161.6,-10.00%,111.3,10.60%
Bouctouche,NB,"1,944",36.5,-23.80%,61.1,-1.90%
Ucluelet,BC,"1,940",86.7,15.20%,106.8,16.40%
Souris,PEI,"1,935",77,54.20%,46.3,7.60%
Souris,MB,"1,935",98.5,55.80%,59.7,-5.10%
Lebel-sur-Quévillon,QC,"1,931",95,-16.80%,58.8,56.10%
Rainy River District (Atikokan),ON,"1,929",120.1,-25.70%,45.8,-16.90%
Elkford,BC,"1,908",79.2,-2.60%,21.1,-26.40%
Lanark County (Montague),ON,"1,896",35.3,-21.80%,20,-47.60%
Montague,PEI,"1,896",54.2,-0.40%,46.4,2.70%
Fort Qu'Appelle,SK,"1,866",146.3,-16.00%,141.6,-10.30%
Provost,AB,"1,834",76.1,83.20%,114.7,23.60%
Bow Island,AB,"1,829",28,-29.10%,29.4,-1.00%
Bathurst,NB,"1,825",174.7,34.60%,77.3,0.60%
Indian Head,SK,"1,819",93.3,116.50%,68.3,11.10%
Watrous,SK,"1,817",152.1,293.70%,45.8,-7.50%
Tofield,AB,"1,811",63.3,-8.20%,100.5,-20.10%
Picture Butte,AB,"1,808",24.8,-30.90%,41.3,14.20%
Redwater,AB,"1,802",244.8,30.30%,158.3,1.80%
Morris,MB,"1,801",37.7,-34.20%,71.6,16.20%
Lumsden,SK,"1,800",51,3.20%,62.6,1.60%
South Okanagan-Keremeos,BC,"1,791",63.1,-52.90%,75.4,-5.70%
Sundre,AB,"1,781",71,-64.30%,115.2,-13.40%
Grenville County (Edwardsburgh/Cardinal),ON,"1,770",83.1,90.40%,51.9,6.50%
Shaunavon,SK,"1,769",65,43.40%,42.5,-0.50%
Canora,SK,"1,763",191.2,-2.80%,62.2,-17.00%
Fort Smith,NWT,"1,749",336.4,-14.50%,234.4,-4.00%
Kensington,PEI,"1,743",19.7,-46.90%,42.9,-4.60%
Shelburne,NS,"1,743",107.7,28.60%,65.9,-19.60%
Shamattawa,MB,"1,721","2,166.90",45.10%,542,12.20%
Dalmeny,SK,"1,703",32.7,-29.10%,31.5,-16.80%
Wynyard,SK,"1,667",35.3,-52.20%,72.1,-8.10%
Kamsack,SK,"1,659",270.5,7.50%,214.8,-7.20%
Baker Lake,NU,"1,653",527.8,-8.90%,295.1,18.80%
Lillooet,BC,"1,652",60.6,-53.80%,168,13.00%
Russell County (Russell),ON,"1,622",18.9,1.40%,30.7,-21.80%
Russell County (Casselman),ON,"1,622",42.2,49.00%,73.6,-1.90%
Russell County/Hawkesbury (The Nation),ON,"1,622",36.6,6.60%,37.2,-26.80%
Russell County (Rockland),ON,"1,622",37.2,-32.70%,35.2,3.80%
Nipigon (Terrace Bay),ON,"1,611",17.9,-52.20%,16.5,-45.20%
Sault Ste. Marie (Macdonald/Meredith),ON,"1,609",25.8,-67.10%,22.8,-5.00%
Roblin,MB,"1,603",184.2,7.40%,140,42.90%
Lennox and Addington County (Deseronto),ON,"1,598",177.4,0.50%,71,0.00%
Manawan,QC,"1,597","3,337.10",679.10%,"1,127.20",411.50%
Vulcan,AB,"1,558",38.1,-9.90%,48.6,-32.40%
Wellington County,ON,"1,526",22.4,-40.70%,30.5,-5.30%
Carlyle,SK,"1,519",82.6,-39.00%,120.1,20.60%
Pinawa,MB,"1,512",81.8,576.30%,52.9,55.90%
Lumby,BC,"1,484",61.6,-46.00%,49.4,35.60%
Rosthern,SK,"1,475",95.6,98.60%,56,-5.50%
Caledon,ON,"1,466",25.5,11.60%,28.4,-0.60%
Caledonia Region,NB,"1,466",69.2,32.40%,64.1,-10.60%
Avignon/Bonaventure Region,QC,"1,447",65.1,25.50%,32.6,-3.00%
Fox Creek,AB,"1,426",186.9,73.60%,318.9,-10.00%
Maria-Chapdelaine Region,QC,"1,421",90.4,33.00%,42.1,-9.50%
Wikwemikong,ON,"1,417",398.2,-17.80%,376.6,42.50%
Maskinongé Region,QC,"1,409",57.5,30.40%,29.7,-6.00%
Cambridge Bay,NU,"1,403","1,181.00",88.90%,359.4,-4.10%
Elk Point,AB,"1,394","1,005.10",65.00%,350.7,-26.70%
Central Hastings,ON,"1,388",51.6,21.00%,48.1,11.90%
Two Hills,AB,"1,379",73.5,24.30%,110.4,-19.70%
Logan Lake,BC,"1,356",51.2,34.00%,55.2,-24.40%
Matagami,QC,"1,340",305.9,48.70%,133.4,33.40%
Placentia,NL,"1,338",40.4,-27.40%,35.9,-9.10%
Hudson Bay,SK,"1,332",84.8,111.90%,66.2,4.20%
Témiscamingue Region,QC,"1,308",175.3,57.60%,55.9,12.10%
St-Pierre-Jolys,MB,"1,305",79.3,50.50%,43.4,-11.30%
Valleyview,AB,"1,280",326.6,-15.90%,224,-4.90%
Barriere,BC,"1,273",89.4,103.90%,75.3,37.50%
Red Lake,ON,"1,263",209.2,12.30%,57.1,-27.00%
Obedjiwan First Nations,QC,"1,259",699.6,24.40%,212.4,87.30%
Antoine-Labelle Region,QC,"1,244",82,-0.60%,45,-11.70%
Inverness County,NS,"1,228",98.8,-16.80%,64.4,-1.10%
Little Current (Espanola),ON,"1,210",151,-6.20%,88.3,32.60%
Little Current (Manitoulin),ON,"1,210",90,-27.00%,66.3,14.10%
Swan Hills,AB,"1,191",47.5,-70.80%,152.4,23.00%
Bassano,AB,"1,186",54,4.80%,52.4,-9.70%
Ashcroft,BC,"1,182",156.6,10.80%,167.4,23.00%
Athabasca,AB,"1,181",219.5,-31.90%,154.2,-28.00%
Burgeo,NL,"1,176",32.8,118.70%,11.1,-40.20%
Mayerthorpe,AB,"1,171",269.4,-3.90%,206.7,0.60%
East Algoma (Thessalon),ON,"1,147",58.7,144.20%,56.1,29.70%
Salmo,BC,"1,140",109.2,102.90%,74.8,7.30%
Central Hastings (Stirling-Rawdon),ON,"1,134",41.3,7.60%,24.1,-27.30%
Wadena,SK,"1,127",121.3,-21.80%,138.3,8.80%
Carnduff,SK,"1,125",30.5,-28.90%,39.4,-22.90%
Nakusp,BC,"1,112",48.5,-32.70%,86.2,1.10%
Gjoa Haven,NU,"1,110",377.3,-5.00%,162.5,4.60%
Dawson,YT,"1,092",353.9,36.10%,275.6,-10.70%
Viking,AB,"1,083",38.9,-42.30%,234.9,16.70%
Lac du Bonnet,MB,"1,064",124.6,74.90%,97.5,-4.90%
Sheshatshiu,NL,"1,049","1,356.60",50.40%,"1,022.60",9.40%
Sault Ste. Marie (Laird),ON,"1,047",31,337.40%,28.9,-58.10%
Grenville County (Merrickville-Wolford),ON,"1,036",18.6,-20.70%,25.6,58.50%
Manning,AB,"1,027",59.6,-48.00%,122.1,13.80%
St. Andrews,NB,"1,001",67.5,627.70%,71.5,12.30%
